o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15
-0.979477866,-0.881119864,-0.782761863,-0.684403861,0,0,0,0,0,0,0,0,0,0,0
-0.969642066,-0.871284064,-0.772926063,-0.674568061,-0.57621006,-0.477852058,-0.379494057,-0.281136055,-0.182778053,-0.084420052,0.01393795,0.112295951,0.210653953,0,0
0.908995764,1.007353765,1.105711767,1.204069768,1.30242777,1.400785771,1.499143773,1.597501774,0,0,0,0,0,0,0
0.908995764,1.007353765,1.105711767,1.204069768,1.30242777,1.400785771,1.499143773,1.597501774,0,0,0,0,0,0,0
0.918831564,1.017189565,1.115547567,1.213905568,1.31226357,1.410621571,1.508979573,1.607337575,0,0,0,0,0,0,0
0.918831564,1.017189565,1.115547567,1.213905568,1.31226357,1.410621571,1.508979573,1.607337575,0,0,0,0,0,0,0
0.918831564,1.017189565,1.115547567,1.213905568,1.31226357,1.410621571,1.508979573,0,0,0,0,0,0,0,0
0.928667364,1.027025365,1.125383367,1.223741369,1.32209937,1.420457372,0,0,0,0,0,0,0,0,0
0.928667364,1.027025365,1.125383367,1.223741369,1.32209937,1.420457372,1.518815373,0,0,0,0,0,0,0,0
-0.61555326,-0.517195259,-0.418837257,-0.320479256,0,0,0,0,0,0,0,0,0,0,0
-0.58604586,-0.487687858,-0.389329857,-0.290971855,-0.192613854,0,0,0,0,0,0,0,0,0,0
-0.59588166,-0.497523658,-0.399165657,-0.300807655,-0.202449654,0,0,0,0,0,0,0,0,0,0
-0.60571746,-0.507359459,-0.409001457,-0.310643455,-0.212285454,0,0,0,0,0,0,0,0,0,0
-0.60571746,-0.507359459,-0.409001457,-0.310643455,-0.212285454,0,0,0,0,0,0,0,0,0,0
-0.58604586,-0.487687858,-0.389329857,-0.290971855,-0.192613854,0,0,0,0,0,0,0,0,0,0
-0.59588166,-0.497523658,-0.399165657,-0.300807655,-0.202449654,0,0,0,0,0,0,0,0,0,0
-0.59588166,-0.497523658,-0.399165657,0,0,0,0,0,0,0,0,0,0,0,0
-0.58604586,-0.487687858,-0.389329857,-0.290971855,0,0,0,0,0,0,0,0,0,0,0
-0.60571746,-0.507359459,-0.409001457,-0.310643455,0,0,0,0,0,0,0,0,0,0,0
0.613921759,0.712279761,0.810637762,0.908995764,0,0,0,0,0,0,0,0,0,0,0
0.66310076,0.761458761,0.859816763,0,0,0,0,0,0,0,0,0,0,0,0
0.65326496,0.751622961,0.849980963,0,0,0,0,0,0,0,0,0,0,0,0
0.65326496,0.751622961,0.849980963,0,0,0,0,0,0,0,0,0,0,0,0
0.66310076,0.761458761,0.859816763,0,0,0,0,0,0,0,0,0,0,0,0
-0.045076851,0.05328115,0.151639152,0.249997153,0.348355155,0.446713156,0.545071158,0.643429159,0,0,0,0,0,0,0
0.348355155,0.446713156,0.545071158,0.643429159,0,0,0,0,0,0,0,0,0,0,0
1.567994374,1.666352375,1.764710377,1.863068379,-1.628640676,-1.530282675,-1.431924673,0,0,0,0,0,0,0,0
1.194233968,1.29259197,1.390949971,1.489307973,1.587665974,1.686023976,1.784381977,1.882739979,0,0,0,0,0,0,0
1.194233968,1.29259197,1.390949971,1.489307973,1.587665974,1.686023976,1.784381977,1.882739979,-1.608969076,-1.510611074,0,0,0,0,0
0.751622961,0.849980963,0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,1.440128972,0,0,0,0,0,0,0
0.771294561,0.869652563,0.968010565,1.066368566,1.164726568,1.263084569,1.361442571,1.459800572,0,0,0,0,0,0,0
0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,1.351606771,1.449964772,0,0,0,0,0,0,0
0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,1.351606771,1.449964772,0,0,0,0,0,0,0
0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,1.351606771,1.449964772,0,0,0,0,0,0,0
0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,1.351606771,1.449964772,0,0,0,0,0,0,0
0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,0,0,0,0,0,0,0,0,0
0.771294561,0.869652563,0.968010565,1.066368566,0,0,0,0,0,0,0,0,0,0,0
