Station,Setup_date,Retrieval_date/Function Date,Latitude,Longitude
TexiguatNE_2022_1,3/22/2022,6/8/2022,15.4945,-87.4376
TexiguatNE_2022_10,3/24/2022,6/9/2022,15.5316,-87.3301
TexiguatNE_2022_11,3/24/2022,6/9/2022,15.5216,-87.3397
TexiguatNE_2022_12,3/24/2022,5/30/2022,15.517,-87.3322
TexiguatNE_2022_13,4/1/2022,6/9/2022,15.5223,-87.3199
TexiguatNE_2022_14,4/1/2022,4/30/2022,15.515,-87.3244
TexiguatNE_2022_15,4/1/2022,6/9/2022,15.5063,-87.3233
TexiguatNE_2022_16,4/1/2022,6/9/2022,15.5021,-87.3272
TexiguatNE_2022_2,3/22/2022,6/8/2022,15.4895,-87.4298
TexiguatNE_2022_3,3/22/2022,6/8/2022,15.4914,-87.4182
TexiguatNE_2022_4,3/22/2022,6/8/2022,15.4916,-86.4792
TexiguatNE_2022_5,3/23/2022,6/8/2022,15.4836,-87.4532
TexiguatNE_2022_6,3/23/2022,5/22/2022,15.4872,-87.4588
TexiguatNE_2022_7,3/23/2022,6/8/2022,15.479,-87.4596
TexiguatNE_2022_8,3/23/2022,6/7/2022,15.4801,-87.4453
TexiguatNE_2022_9,3/24/2022,5/31/2022,15.5347,-87.3379
Yoro_2017_1,8/29/2017,10/9/2017,15.0471,-87.0901
Yoro_2017_12,8/26/2017,10/14/2017,15.0375,-87.0884
Yoro_2017_3,8/28/2017,10/23/2017,15.0276,-87.1049
Yoro_2017_4,8/24/2017,10/1/2017,14.9878,-87.1278
Yoro_2017_5,8/22/2017,10/17/2017,15.0548,-87.0743
Yoro_2017_6,8/22/2017,10/10/2017,15.0558,-87.0853
Yoro_2017_8,8/17/2017,10/26/2017,15.011,-87.1369
Yoro_2017_9,8/20/2017,10/13/2017,15.0526,-87.1066
