Station,Setup_date,Retrieval_date/Function Date,Latitude,Longitude
ElCarbon_2020_15,9/26/2020,12/1/2020,15.2594,-85.5079
ElCarbon_2020_16,10/17/2020,11/12/2020,15.244,-85.5096
ElCarbon_2020_4,9/26/2020,12/6/2020,15.2785,-85.5412
ElCarbon_2020_5,9/26/2020,12/6/2020,15.2674,-85.5416
ElCarbon_2020_6,9/27/2020,12/6/2020,15.2501,-85.5441
ElCarbon_2020_7,9/27/2020,12/6/2020,15.2454,-85.5522
ElCarbon_2020_8,9/27/2020,12/7/2020,15.2398,-85.5322
ElCarbon_2020_9,9/26/2020,12/5/2020,15.255,-85.5262
Encantadora_2022_1,8/20/2022,10/1/2022,15.4378,-88.4268
Encantadora_2022_2,8/20/2022,10/2/2022,15.4461,-88.4306
Encantadora_2022_3,8/20/2022,10/2/2022,15.4471,-88.4267
Encantadora_2022_4,8/21/2022,10/2/2022,15.4464,-88.4203
Encantadora_2022_5,8/21/2022,10/2/2022,15.456,-88.4255
Encantadora_2022_6,8/21/2022,10/2/2022,15.4533,-88.4325
Farrallones_2018_1,3/13/2018,4/10/2018,15.8327,-85.4215
Farrallones_2018_10,3/13/2018,4/10/2018,15.8627,-85.3991
Farrallones_2018_12,3/13/2018,6/8/2018,15.8444,-85.3881
Farrallones_2018_13,3/14/2018,5/24/2018,15.866,-85.3924
Farrallones_2018_16,3/14/2018,6/8/2018,15.8769,-85.4001
Farrallones_2018_18,3/14/2018,6/5/2018,15.8751,-85.4077
Farrallones_2018_20,3/14/2018,6/8/2018,15.8733,-85.4163
Farrallones_2018_22,3/14/2018,6/8/2018,15.8715,-85.4268
Farrallones_2018_23,3/15/2018,6/8/2018,15.8649,-85.4348
Farrallones_2018_25,3/15/2018,6/8/2018,15.8602,-85.4433
Farrallones_2018_26,3/15/2018,4/10/2018,15.8355,-85.4534
Farrallones_2018_29,3/15/2018,4/10/2018,15.8434,-85.4845
Farrallones_2018_30,3/15/2018,4/15/2018,15.8461,-85.4482
Farrallones_2018_32,3/15/2018,4/10/2018,15.8612,-85.4408
Farrallones_2018_6,3/13/2018,6/8/2018,15.8473,-85.4287
Farrallones_2018_8,3/13/2018,6/8/2018,15.8438,-85.4253
Guanales_2019_1,5/29/2019,8/9/2019,15.4394,-88.4396
Guanales_2019_2,5/29/2019,8/9/2019,15.435,-88.4397
Guanales_2019_3,5/29/2019,8/9/2019,15.4403,-88.4432
Guanales_2019_4,5/30/2019,8/10/2019,15.4441,-88.4402
Guanales_2019_5,5/30/2019,8/10/2019,15.4507,-88.4443
Guanales_2019_6,5/30/2019,8/10/2019,15.4531,-88.4494
Kawas_2011_1,7/26/2011,9/9/2011,15.8337,-87.6019
Kawas_2011_2,7/26/2011,9/10/2011,15.9227,-87.6059
Kawas_2011_4,7/31/2011,9/8/2011,15.8595,-87.6852
Kawas_2014_16,6/11/2014,7/23/2014,15.8466,-87.6125
Kawas_2014_18,6/14/2014,7/24/2014,15.8151,-87.6915
Kawas_2014_2,6/12/2014,7/24/2014,15.884,-87.6572
Kawas_2014_7,6/12/2014,7/24/2014,15.8717,-87.6421
Kawas_2014_8,6/11/2014,7/23/2014,15.7999,-87.6503
Kawas_2017_2,5/31/2017,7/30/2017,15.9116,-87.6242
Kawas_2017_3,6/23/2017,8/2/2017,15.9153,-87.6209
Kawas_2022_5,12/10/2021,2/27/2022,15.9129,-87.6209
Kawas_2022_7,12/10/2021,2/27/2022,15.9215,-87.6111
Kawas_2022_8,12/19/2021,2/25/2022,15.8179,-87.5844
LaMuralla_2019_1,9/13/2019,12/10/2019,15.1027,-86.7359
LaMuralla_2019_10,10/22/2019,12/12/2019,15.1118,-86.6295
LaMuralla_2019_11,10/22/2019,12/12/2019,15.1282,-86.6185
LaMuralla_2019_12,10/22/2019,12/12/2019,15.1046,-86.6405
LaMuralla_2019_2,9/13/2019,12/10/2019,15.0947,-86.7399
LaMuralla_2019_3,9/14/2019,12/11/2019,15.096,-86.7296
LaMuralla_2019_4,9/14/2019,12/11/2019,15.0939,-86.7221
LaMuralla_2019_5,8/26/2019,10/18/2019,15.1002,-86.7163
LaMuralla_2019_6,9/14/2019,12/11/2019,15.1024,-86.7086
LaMuralla_2019_8,9/15/2019,12/10/2019,15.1104,-86.7198
LaMuralla_2019_9,10/20/2019,12/10/2019,15.1006,-86.6861
Lancetilla_2014_2,2/11/2014,5/1/2014,15.2408,-87.4811
M_Tiburones_2020_1,3/7/2020,6/6/2020,15.6255,-87.599
M_Tiburones_2020_2,3/7/2020,6/27/2020,15.6269,-87.5959
M_Tiburones_2020_5,3/8/2020,6/28/2020,15.6462,-87.5845
M_Tiburones_2020_6,3/8/2020,6/13/2020,15.6447,-87.5805
M_Tiburones_2020_7,3/8/2020,6/28/2020,15.6438,-87.5774
M_Tiburones_2020_9,3/9/2020,6/26/2020,15.7166,-87.3836
Merendon_2019_1,6/19/2019,8/25/2019,15.521,-88.1118
Merendon_2019_10,6/21/2019,8/27/2019,15.4826,-88.0477
Merendon_2019_2,6/19/2019,8/25/2019,15.5229,-88.1096
Merendon_2019_3,6/19/2019,8/26/2019,15.5165,-88.1127
Merendon_2019_4,6/20/2019,8/26/2019,15.5094,-88.1098
Merendon_2019_5,6/20/2019,8/26/2019,15.4963,-88.106
Merendon_2019_6,6/20/2019,8/25/2019,15.535,-88.1036
