Station,Setup_date,Retrieval_date,Latitude,Longitude,Patch ID,Raw_Parea_d80_km,PatchSize,C_Function,Duration,Human_Ratio,AgAnimal_Ratio,D_2_PA,HMI,VNL_2,P_Area_log,D_2_Core,Canopy,Elev,NPP,Precip
CapiroyCalentura_2020_4,8/20/2020,10/27/2020,15.8731,-85.9604,51,68,2_Medium,1,-0.190553951,-0.344237864,-0.194890231,-0.363661862,-0.334358395,-0.126726971,-0.468642831,3.848770398,1.176424031,0.370577724,0.283777584,-1.065773548
CapiroyCalentura_2020_5,8/20/2020,10/27/2020,15.8834,-85.954,51,68,2_Medium,1,-0.190553951,-0.229682944,-0.194890231,-0.363661862,-0.377909474,-0.192218987,-0.468642831,3.967932998,0.870247743,-0.122893999,-0.177831069,-1.059511035
CapiroyCalentura_2020_6,8/21/2020,11/27/2020,15.9135,-85.9296,51,68,2_Medium,1,0.888617496,-0.334886442,-0.194890231,-0.304518336,1.118401477,2.65669677,-0.468642831,4.322658517,0.417238288,-0.920137748,0.902423457,-0.103434004
CapiroyCalentura_2020_7,8/21/2020,11/27/2020,15.9018,-85.9171,51,68,2_Medium,1,0.888617496,-0.414373528,-0.194890231,-0.363661862,0.109686328,0.011603564,-0.468642831,4.189879429,0.684368517,-0.565327828,1.02817994,-0.946785796
CapiroyCalentura_2020_8,8/21/2020,10/13/2020,15.908,-85.9201,51,68,2_Medium,1,-0.730139674,-0.426371579,-0.194890231,-0.363661862,0.109686328,0.672860222,-0.468642831,4.261204883,0.684368517,-0.826905522,0.694069989,-0.748472874
Cortes_2019_1,6/10/2019,8/13/2019,15.748,-87.9427,122,48,2_Medium,1,-0.334443477,-0.086489296,-0.194890231,3.169112547,0.429462251,1.344417098,-0.624975895,0.982414184,-0.74908769,-0.715204778,-0.232869329,0.025991271
Cortes_2019_2,6/10/2019,7/6/2019,15.7547,-87.9407,122,48,2_Medium,2,-1.701393977,0.025862644,-0.194890231,3.169273948,0.429462251,1.103622127,-0.624975895,1.033542182,-0.74908769,-0.897213511,-0.429660803,0.297366847
Cortes_2019_3,6/11/2019,7/10/2019,15.6945,-87.9746,163,16,1_Small,1,-1.593476832,1.038321504,1.40029413,3.019941254,1.140906788,1.011702132,-1.118074155,0.414741875,0.321455432,-0.515887324,0.260495212,-0.234946784
Cortes_2019_4,6/11/2019,8/12/2019,15.6995,-87.9726,163,16,1_Small,3,-0.40638824,3.698442182,0.364710734,3.21145474,1.140906788,0.824764724,-1.118074155,0.46373584,0.321455432,-0.545207006,0.319255483,-0.193196695
Cortes_2019_5,6/12/2019,8/12/2019,15.7141,-87.9615,163,16,1_Small,1,-0.442360622,-0.317946571,-0.194890231,3.194125652,0.970533609,0.729978339,-1.118074155,0.663493953,-0.919171729,-0.727991347,0.623272573,-0.13892158
