"patch_size","Cabassous centralis","Canis latrans","Conepatus leuconotus","Conepatus semistriatus","Crax rubra","Cuniculus paca","Dasyprocta punctata","Dasypus novemcinctus","Didelphis sp","Eira barbara","Galictis vittata","Herpailurus yagouaroundi","Leopardus pardalis","Leopardus wiedii","Mazama temama","Nasua narica","Odocoileus virginianus","Panthera onca","Pecari tajacu","Penelope purpurascens","Penelopina nigra","Procyon lotor","Puma concolor","Spilogale angustifrons","Sylvilagus gabbi","Tamandua mexicana","Tapirus bairdii","Tayassu pecari","Tinamus major","Urocyon cinereoargenteus"
1,0.224774568455031,0.0799768344012394,0.306843763501839,0.252821883926125,0.304319661898666,0.519097732123678,0.676954055659906,0.607527894426549,0.78651249043602,0.14946497729835,0.197645920689619,0.531414323574556,0.494075697629624,0.392153179240687,0.0251434562202134,0.803462419158045,0.145448904275574,0.247820012571854,0.17189220191693,0.0604549800305106,0.115148707119046,0.584518263802561,0.0527748845952761,0.036355928583078,0.233143309539506,0.564221774093813,0.0113200659611326,0.00799518644369415,0.186760384433843,0.302763806658226
2,0.187810286607372,0.0631467444464973,0.209049762123161,0.226484675131188,0.251682561558872,0.497948590875851,0.640131406724181,0.52962963022235,0.761773636964358,0.21175343316485,0.210164224014503,0.45112193158092,0.476984104198295,0.436555860650582,0.0673978535835511,0.715484312113199,0.125910013561141,0.198135878520244,0.159368257269354,0.0630024070745189,0.172637216422191,0.426792396552849,0.070455646156251,0.0389015299669939,0.182376377111587,0.433195933733629,0.0266739471954711,0.0155123186436279,0.195560948779704,0.231633980325076
3,0.135475422655097,0.0668405222814125,0.0739430462670957,0.2203629374517,0.232654208063771,0.515990027889565,0.610004011607058,0.483136711900732,0.548068517853617,0.285521664846374,0.183059607794477,0.44001811114065,0.342889370245546,0.690414983018877,0.202580251295624,0.745748295380732,0.105913847025721,0.207372245710281,0.230956505205085,0.101916922351995,0.373991702571493,0.178573646583354,0.225080132912662,0.0689416057097181,0.0655217394006891,0.191616352103638,0.142493664370201,0.0394322414614792,0.29663952525942,0.208392791053157
4,0.0881642649331345,0.0242582234221704,0.0200676337242217,0.353235957563974,0.67344823810649,0.661151498966843,0.827539070618435,0.472577942625722,0.468365166271181,0.452122990357342,0.237268390286129,0.340165752008018,0.629600539488134,0.626894177051222,0.539274291851977,0.574501929045622,0.172168690242247,0.527764373352694,0.290157598277664,0.210605536760224,0.146281290579343,0.130021297505133,0.46840905798045,0.0315732113041531,0.0189058670574495,0.286752383560998,0.563007793777622,0.580881978182671,0.442054252388243,0.0477673329081394
